customer_id,name,segment,plan_tier,region,signup_month,churn_month
CUST-00030,Gale Works,SMB,Team,APAC,2023-12,2025-02
CUST-00031,Harbor Works,SMB,Starter,EMEA,2024-01,2025-05
CUST-00032,Ironwood Works,SMB,Starter,EMEA,2024-01,
CUST-00033,Juniper Works,SMB,Team,EMEA,2024-01,2025-06
CUST-00034,Kestrel Works,SMB,Starter,NA,2024-01,2024-07
CUST-00035,Vantage Robotics,Enterprise,Enterprise,APAC,2024-01,
CUST-00036,Meridian Works,SMB,Starter,EMEA,2024-02,2026-05
CUST-00037,Nimbus Works,SMB,Team,NA,2024-02,
CUST-00038,Outrigger Works,SMB,Starter,APAC,2024-02,
CUST-00039,Pinewell Works,SMB,Team,APAC,2024-02,
CUST-00040,Quarry Works,SMB,Team,NA,2024-02,2025-04
CUST-00041,Ridgeline Works,SMB,Starter,EMEA,2024-02,2026-09
CUST-00042,Solstice Works,SMB,Team,LATAM,2024-02,2024-09
CUST-00043,Timberline Works,SMB,Starter,NA,2024-03,2024-12
CUST-00044,Upland Works,SMB,Team,NA,2024-03,
CUST-00045,Verve Works,SMB,Starter,NA,2024-03,2025-04
CUST-00046,Westgate Works,SMB,Starter,NA,2024-03,2025-12
CUST-00047,Yarrow Works,SMB,Team,EMEA,2024-03,2024-07
CUST-00048,Zephyr Works,SMB,Team,LATAM,2024-03,2025-05
CUST-00049,Anchor Labs,SMB,Team,NA,2024-03,2025-06
CUST-00050,Brightline Labs,SMB,Starter,EMEA,2024-03,2025-10
CUST-00051,Cobalt Labs,SMB,Starter,NA,2024-03,
CUST-00052,Driftwood Labs,SMB,Starter,NA,2024-03,
CUST-00053,Cedar Health,Enterprise,Enterprise,NA,2024-03,
CUST-00054,Foundry Labs,SMB,Team,NA,2024-04,
CUST-00055,Gale Labs,SMB,Starter,LATAM,2024-04,2024-09
CUST-00056,Harbor Labs,SMB,Team,NA,2024-04,2025-06
CUST-00057,Ironwood Labs,SMB,Team,NA,2024-04,2025-05
CUST-00058,Juniper Labs,SMB,Starter,NA,2024-04,2025-01
CUST-00059,Kestrel Labs,SMB,Team,APAC,2024-04,
CUST-00060,Lattice Labs,SMB,Starter,NA,2024-04,
CUST-00061,Meridian Labs,SMB,Starter,LATAM,2024-04,2025-06
CUST-00062,Nimbus Labs,Mid-Market,Team,APAC,2024-05,
CUST-00063,Outrigger Labs,Mid-Market,Business,APAC,2024-05,2025-05
CUST-00064,Pinewell Labs,SMB,Starter,NA,2024-05,2025-03
CUST-00065,Quarry Labs,SMB,Team,LATAM,2024-05,
CUST-00066,Ridgeline Labs,SMB,Team,LATAM,2024-05,2025-05
CUST-00067,Solstice Labs,Enterprise,Business,NA,2024-05,
CUST-00068,Timberline Labs,SMB,Team,EMEA,2024-05,
CUST-00069,Fable & Co,Enterprise,Enterprise,EMEA,2024-05,
CUST-00070,Verve Labs,SMB,Team,NA,2024-06,
CUST-00071,Westgate Labs,SMB,Team,LATAM,2024-06,
CUST-00072,Yarrow Labs,Mid-Market,Team,EMEA,2024-06,2024-07
CUST-00073,Zephyr Labs,Mid-Market,Team,NA,2024-06,
CUST-00074,Anchor Collective,SMB,Starter,NA,2024-06,2025-06
CUST-00075,Brightline Collective,SMB,Starter,LATAM,2024-06,2026-02
CUST-00076,Cobalt Collective,SMB,Team,NA,2024-06,2025-04
CUST-00077,Driftwood Collective,SMB,Team,EMEA,2024-07,
CUST-00078,Elm Collective,Mid-Market,Business,EMEA,2024-07,2025-12
CUST-00079,Foundry Collective,SMB,Team,NA,2024-07,2025-03
CUST-00080,Gale Collective,SMB,Starter,LATAM,2024-07,
CUST-00081,Harbor Collective,Mid-Market,Team,LATAM,2024-07,
CUST-00082,Ironwood Collective,SMB,Starter,NA,2024-07,2025-05
CUST-00083,Juniper Collective,SMB,Team,APAC,2024-07,
CUST-00084,Kestrel Collective,Mid-Market,Business,EMEA,2024-07,2025-06
CUST-00085,Lattice Collective,SMB,Starter,EMEA,2024-07,
CUST-00086,Meridian Collective,SMB,Team,EMEA,2024-07,2025-05
CUST-00087,Loom Systems,Enterprise,Enterprise,LATAM,2024-07,
CUST-00088,Outrigger Collective,SMB,Team,APAC,2024-08,2025-05
CUST-00089,Pinewell Collective,SMB,Starter,NA,2024-08,2025-04
CUST-00090,Quarry Collective,SMB,Starter,EMEA,2024-08,
CUST-00091,Ridgeline Collective,SMB,Team,APAC,2024-08,
CUST-00092,Solstice Collective,SMB,Team,NA,2024-08,
CUST-00093,Timberline Collective,Mid-Market,Team,NA,2024-08,
CUST-00094,Upland Collective,SMB,Starter,EMEA,2024-08,
CUST-00095,Verve Collective,Mid-Market,Business,NA,2024-08,
CUST-00096,Westgate Collective,SMB,Starter,LATAM,2024-08,2026-03
CUST-00097,Yarrow Collective,SMB,Team,EMEA,2024-08,2025-02
CUST-00098,Zephyr Collective,SMB,Starter,EMEA,2024-08,2025-05
CUST-00099,Anchor Group,Mid-Market,Team,APAC,2024-08,
CUST-00100,Brightline Group,SMB,Starter,NA,2024-08,2024-10
CUST-00101,Cobalt Group,SMB,Starter,NA,2024-08,
CUST-00102,Driftwood Group,Enterprise,Business,APAC,2024-08,
CUST-00103,Elm Group,SMB,Starter,EMEA,2024-08,
CUST-00104,Foundry Group,SMB,Starter,APAC,2024-09,2024-10
CUST-00105,Gale Group,SMB,Starter,NA,2024-09,
CUST-00106,Harbor Group,SMB,Starter,EMEA,2024-09,2025-04
CUST-00107,Ironwood Group,SMB,Team,LATAM,2024-09,2025-02
CUST-00108,Juniper Group,SMB,Team,APAC,2024-09,2025-06
CUST-00109,Kestrel Group,SMB,Starter,EMEA,2024-09,
CUST-00110,Lattice Group,SMB,Team,EMEA,2024-09,2024-12
CUST-00111,Meridian Group,SMB,Starter,APAC,2024-09,2025-12
CUST-00112,Nimbus Group,SMB,Team,APAC,2024-09,
CUST-00113,Praxis Freight,Enterprise,Enterprise,LATAM,2024-09,
CUST-00114,Pinewell Group,SMB,Team,EMEA,2024-10,2025-12
CUST-00115,Quarry Group,SMB,Starter,EMEA,2024-10,
CUST-00116,Ridgeline Group,SMB,Team,LATAM,2024-10,2025-04
CUST-00117,Solstice Group,SMB,Starter,NA,2024-10,
CUST-00118,Timberline Group,SMB,Starter,EMEA,2024-10,2026-04
CUST-00119,Upland Group,SMB,Starter,EMEA,2024-10,2026-01
CUST-00120,Verve Group,Mid-Market,Business,EMEA,2024-10,
CUST-00121,Westgate Group,SMB,Starter,NA,2024-10,
CUST-00122,Yarrow Group,SMB,Team,APAC,2024-10,
CUST-00123,Zephyr Group,SMB,Starter,APAC,2024-10,2025-06
CUST-00124,Anchor Studio,SMB,Starter,EMEA,2024-10,
CUST-00125,Brightline Studio,Enterprise,Business,LATAM,2024-10,
CUST-00126,Cobalt Studio,SMB,Team,EMEA,2024-10,2024-11
CUST-00127,Driftwood Studio,SMB,Starter,EMEA,2024-10,
CUST-00128,Elm Studio,SMB,Starter,NA,2024-10,
CUST-00129,Foundry Studio,SMB,Starter,NA,2024-11,2025-11
CUST-00130,Gale Studio,SMB,Team,LATAM,2024-11,2025-06
CUST-00131,Harbor Studio,SMB,Starter,NA,2024-11,2025-03
CUST-00132,Ironwood Studio,SMB,Starter,EMEA,2024-11,2025-05
CUST-00133,Juniper Studio,Mid-Market,Business,NA,2024-11,
CUST-00134,Kestrel Studio,SMB,Team,EMEA,2024-11,2025-04
CUST-00135,Lattice Studio,SMB,Starter,NA,2024-11,
CUST-00136,Meridian Studio,SMB,Starter,EMEA,2024-11,2024-12
CUST-00137,Nimbus Studio,SMB,Team,NA,2024-11,2026-04
CUST-00138,Outrigger Studio,SMB,Starter,APAC,2024-11,2025-02
CUST-00139,Pinewell Studio,SMB,Team,APAC,2024-11,2025-08
CUST-00140,Quarry Studio,SMB,Starter,NA,2024-11,
CUST-00141,Ridgeline Studio,SMB,Starter,APAC,2024-11,2025-01
CUST-00142,Solstice Studio,SMB,Starter,NA,2024-12,
CUST-00143,Timberline Studio,SMB,Starter,NA,2024-12,2026-03
CUST-00144,Upland Studio,SMB,Team,EMEA,2024-12,
CUST-00145,Verve Studio,SMB,Team,NA,2024-12,2026-05
CUST-00146,Westgate Studio,SMB,Team,NA,2024-12,2025-04
CUST-00147,Yarrow Studio,SMB,Team,NA,2024-12,2026-06
CUST-00148,Zephyr Studio,SMB,Team,NA,2024-12,2025-09
CUST-00149,Anchor Partners,Enterprise,Enterprise,NA,2024-12,
CUST-00150,Brightline Partners,SMB,Team,NA,2024-12,
CUST-00151,Cobalt Partners,SMB,Team,EMEA,2024-12,2025-06
CUST-00152,Driftwood Partners,SMB,Starter,LATAM,2024-12,2025-05
CUST-00153,Elm Partners,SMB,Starter,EMEA,2024-12,
CUST-00154,Foundry Partners,Mid-Market,Team,APAC,2024-12,
CUST-00155,Gale Partners,Enterprise,Enterprise,EMEA,2024-12,
CUST-00156,Harbor Partners,SMB,Team,NA,2024-12,2026-02
CUST-00157,Ironwood Partners,SMB,Team,EMEA,2024-12,
CUST-00158,Juniper Partners,SMB,Starter,APAC,2024-12,2025-06
CUST-00159,Kestrel Partners,Mid-Market,Business,LATAM,2024-12,2026-09
CUST-00160,Lattice Partners,SMB,Starter,EMEA,2024-12,2025-05
CUST-00161,Meridian Partners,SMB,Starter,NA,2025-01,
CUST-00162,Nimbus Partners,Enterprise,Business,APAC,2025-01,2025-02
CUST-00163,Outrigger Partners,SMB,Starter,NA,2025-01,
CUST-00164,Pinewell Partners,SMB,Starter,NA,2025-01,2026-07
CUST-00165,Quarry Partners,SMB,Starter,LATAM,2025-01,2025-06
CUST-00166,Ridgeline Partners,Enterprise,Business,EMEA,2025-01,
CUST-00167,Solstice Partners,SMB,Starter,LATAM,2025-01,2025-10
CUST-00168,Timberline Partners,SMB,Team,EMEA,2025-01,
CUST-00169,Upland Partners,SMB,Team,EMEA,2025-01,
CUST-00170,Verve Partners,SMB,Starter,LATAM,2025-01,2026-02
CUST-00171,Westgate Partners,SMB,Starter,EMEA,2025-01,
CUST-00172,Yarrow Partners,SMB,Team,LATAM,2025-01,
CUST-00173,Zephyr Partners,SMB,Team,NA,2025-01,2026-06
CUST-00174,Anchor Logistics,SMB,Team,APAC,2025-01,2025-07
CUST-00175,Brightline Logistics,SMB,Starter,LATAM,2025-01,2025-04
CUST-00176,Cobalt Logistics,Mid-Market,Business,NA,2025-01,
CUST-00177,Driftwood Logistics,SMB,Starter,EMEA,2025-01,
CUST-00178,Elm Logistics,SMB,Team,NA,2025-02,
CUST-00179,Foundry Logistics,Enterprise,Business,EMEA,2025-02,
CUST-00180,Gale Logistics,SMB,Starter,EMEA,2025-02,
CUST-00181,Harbor Logistics,Mid-Market,Business,NA,2025-02,2025-10
CUST-00182,Ironwood Logistics,SMB,Starter,EMEA,2025-02,2025-05
CUST-00183,Juniper Logistics,SMB,Starter,EMEA,2025-02,2025-05
CUST-00184,Kestrel Logistics,SMB,Starter,LATAM,2025-02,
CUST-00185,Lattice Logistics,SMB,Team,EMEA,2025-02,
CUST-00186,Meridian Logistics,SMB,Team,APAC,2025-02,2025-12
CUST-00187,Nimbus Logistics,SMB,Starter,EMEA,2025-02,
CUST-00188,Outrigger Logistics,Enterprise,Business,EMEA,2025-02,
CUST-00189,Pinewell Logistics,SMB,Team,NA,2025-02,2025-09
CUST-00190,Quarry Logistics,Enterprise,Enterprise,NA,2025-02,
CUST-00191,Ridgeline Logistics,SMB,Team,NA,2025-02,
CUST-00192,Solstice Logistics,SMB,Team,NA,2025-02,2025-04
CUST-00193,Timberline Logistics,SMB,Team,APAC,2025-02,2025-07
CUST-00194,Upland Logistics,SMB,Starter,NA,2025-02,2025-08
CUST-00195,Verve Logistics,SMB,Team,NA,2025-02,
CUST-00196,Westgate Logistics,SMB,Team,NA,2025-02,2025-06
CUST-00197,Yarrow Logistics,SMB,Starter,NA,2025-02,
CUST-00198,Zephyr Logistics,SMB,Team,EMEA,2025-02,2025-05
CUST-00199,Anchor Health,SMB,Starter,LATAM,2025-02,2026-05
CUST-00200,Brightline Health,SMB,Team,EMEA,2025-03,2025-05
CUST-00201,Cobalt Health,Mid-Market,Team,NA,2025-03,
CUST-00202,Driftwood Health,SMB,Starter,NA,2025-03,2025-05
CUST-00203,Elm Health,SMB,Starter,NA,2025-03,2025-04
CUST-00204,Foundry Health,Enterprise,Business,NA,2025-03,2026-05
CUST-00205,Gale Health,SMB,Starter,NA,2025-03,2025-05
CUST-00206,Harbor Health,SMB,Starter,EMEA,2025-03,2026-03
CUST-00207,Ironwood Health,SMB,Team,EMEA,2025-03,2025-08
CUST-00208,Juniper Health,SMB,Team,APAC,2025-03,2026-05
CUST-00209,Kestrel Health,SMB,Starter,APAC,2025-03,
CUST-00210,Lattice Health,SMB,Starter,EMEA,2025-03,
CUST-00211,Meridian Health,SMB,Starter,EMEA,2025-03,2025-04
CUST-00212,Nimbus Health,Enterprise,Business,APAC,2025-03,
CUST-00213,Outrigger Health,SMB,Starter,EMEA,2025-03,2025-05
CUST-00214,Pinewell Health,SMB,Team,NA,2025-03,
CUST-00215,Quarry Health,SMB,Starter,EMEA,2025-03,
CUST-00216,Ridgeline Health,SMB,Starter,NA,2025-03,
CUST-00217,Solstice Health,Mid-Market,Team,EMEA,2025-03,
CUST-00218,Timberline Health,SMB,Starter,APAC,2025-03,
CUST-00219,Upland Health,SMB,Starter,APAC,2025-03,
CUST-00220,Verve Health,SMB,Starter,APAC,2025-03,2025-09
CUST-00221,Westgate Health,SMB,Starter,LATAM,2025-04,
CUST-00222,Yarrow Health,SMB,Starter,EMEA,2025-04,2025-05
CUST-00223,Zephyr Health,Enterprise,Business,EMEA,2025-04,2026-06
CUST-00224,Anchor Robotics,SMB,Team,NA,2025-04,2026-02
CUST-00225,Brightline Robotics,SMB,Starter,NA,2025-04,
CUST-00226,Cobalt Robotics,SMB,Team,APAC,2025-04,
CUST-00227,Driftwood Robotics,Enterprise,Enterprise,EMEA,2025-04,
CUST-00228,Elm Robotics,SMB,Team,NA,2025-04,
CUST-00229,Foundry Robotics,SMB,Starter,NA,2025-04,
CUST-00230,Gale Robotics,Mid-Market,Team,NA,2025-04,2026-01
CUST-00231,Harbor Robotics,SMB,Starter,APAC,2025-04,
CUST-00232,Ironwood Robotics,SMB,Team,EMEA,2025-04,
CUST-00233,Juniper Robotics,SMB,Starter,NA,2025-04,
CUST-00234,Kestrel Robotics,SMB,Starter,EMEA,2025-04,
CUST-00235,Lattice Robotics,SMB,Starter,APAC,2025-04,
CUST-00236,Meridian Robotics,SMB,Team,APAC,2025-04,2025-12
CUST-00237,Nimbus Robotics,SMB,Starter,LATAM,2025-04,
CUST-00238,Outrigger Robotics,SMB,Starter,NA,2025-04,
CUST-00239,Pinewell Robotics,SMB,Team,APAC,2025-04,2026-03
CUST-00240,Quarry Robotics,Enterprise,Business,NA,2025-04,
CUST-00241,Ridgeline Robotics,SMB,Starter,NA,2025-04,
CUST-00242,Solstice Robotics,SMB,Starter,APAC,2025-04,2025-06
CUST-00243,Timberline Robotics,SMB,Team,APAC,2025-04,2025-12
CUST-00244,Upland Robotics,Enterprise,Business,NA,2025-04,
CUST-00245,Verve Robotics,SMB,Team,NA,2025-05,2026-06
CUST-00246,Westgate Robotics,SMB,Team,EMEA,2025-05,
CUST-00247,Yarrow Robotics,SMB,Starter,EMEA,2025-05,2026-07
CUST-00248,Zephyr Robotics,SMB,Team,NA,2025-05,
CUST-00249,Anchor Freight,Mid-Market,Business,EMEA,2025-05,
CUST-00250,Brightline Freight,SMB,Team,APAC,2025-05,
CUST-00251,Cobalt Freight,SMB,Starter,LATAM,2025-05,
CUST-00252,Driftwood Freight,Mid-Market,Team,APAC,2025-05,
CUST-00253,Elm Freight,SMB,Starter,NA,2025-05,
CUST-00254,Foundry Freight,SMB,Starter,NA,2025-05,
CUST-00255,Gale Freight,SMB,Team,NA,2025-05,
CUST-00256,Harbor Freight,SMB,Team,LATAM,2025-05,2025-07
CUST-00257,Ironwood Freight,SMB,Team,NA,2025-05,
CUST-00258,Juniper Freight,Enterprise,Business,LATAM,2025-05,
CUST-00259,Kestrel Freight,SMB,Team,NA,2025-06,
CUST-00260,Lattice Freight,SMB,Team,LATAM,2025-06,
CUST-00261,Meridian Freight,SMB,Starter,APAC,2025-06,2025-11
CUST-00262,Nimbus Freight,SMB,Starter,EMEA,2025-06,2026-08
CUST-00263,Outrigger Freight,SMB,Starter,APAC,2025-06,
CUST-00264,Pinewell Freight,SMB,Starter,NA,2025-06,2026-06
CUST-00265,Quarry Freight,SMB,Starter,NA,2025-06,
CUST-00266,Ridgeline Freight,SMB,Starter,NA,2025-06,
CUST-00267,Solstice Freight,SMB,Starter,EMEA,2025-06,
CUST-00268,Timberline Freight,SMB,Starter,NA,2025-06,
CUST-00269,Upland Freight,SMB,Starter,EMEA,2025-06,
CUST-00270,Verve Freight,SMB,Team,EMEA,2025-06,
CUST-00271,Westgate Freight,SMB,Starter,NA,2025-06,
CUST-00272,Yarrow Freight,SMB,Starter,EMEA,2025-06,2026-05
CUST-00273,Zephyr Freight,SMB,Starter,APAC,2025-06,
CUST-00274,Anchor Analytics,Mid-Market,Business,EMEA,2025-06,2026-05
CUST-00275,Brightline Analytics,SMB,Starter,APAC,2025-06,
CUST-00276,Cobalt Analytics,Mid-Market,Business,LATAM,2025-06,2026-06
CUST-00277,Driftwood Analytics,SMB,Team,EMEA,2025-06,
CUST-00278,Elm Analytics,SMB,Team,NA,2025-06,2025-10
CUST-00279,Foundry Analytics,SMB,Team,APAC,2025-06,
CUST-00280,Gale Analytics,SMB,Starter,APAC,2025-06,
CUST-00281,Harbor Analytics,SMB,Team,APAC,2025-06,
CUST-00282,Ironwood Analytics,SMB,Starter,NA,2025-06,
CUST-00283,Juniper Analytics,SMB,Starter,NA,2025-06,
CUST-00284,Kestrel Analytics,SMB,Starter,EMEA,2025-06,2026-03
CUST-00285,Lattice Analytics,SMB,Starter,NA,2025-06,2026-09
CUST-00286,Meridian Analytics,SMB,Starter,APAC,2025-07,2026-05
CUST-00287,Nimbus Analytics,SMB,Starter,LATAM,2025-07,2026-01
CUST-00288,Outrigger Analytics,SMB,Starter,APAC,2025-07,2025-11
CUST-00289,Pinewell Analytics,SMB,Starter,LATAM,2025-07,
CUST-00290,Quarry Analytics,SMB,Team,LATAM,2025-07,
CUST-00291,Ridgeline Analytics,SMB,Starter,EMEA,2025-07,
CUST-00292,Solstice Analytics,SMB,Starter,LATAM,2025-07,
CUST-00293,Timberline Analytics,SMB,Starter,EMEA,2025-07,2025-09
CUST-00294,Upland Analytics,Mid-Market,Business,APAC,2025-07,
CUST-00295,Verve Analytics,SMB,Starter,EMEA,2025-07,2026-02
CUST-00296,Westgate Analytics,Mid-Market,Team,APAC,2025-07,
CUST-00297,Yarrow Analytics,SMB,Starter,NA,2025-07,2026-05
CUST-00298,Zephyr Analytics,SMB,Starter,NA,2025-07,
CUST-00299,Anchor Ventures,Mid-Market,Business,EMEA,2025-07,
CUST-00300,Brightline Ventures,Enterprise,Business,NA,2025-07,
CUST-00301,Cobalt Ventures,Enterprise,Enterprise,EMEA,2025-07,
CUST-00302,Driftwood Ventures,Enterprise,Enterprise,NA,2025-07,2026-03
CUST-00303,Elm Ventures,SMB,Team,NA,2025-07,2026-02
CUST-00304,Foundry Ventures,SMB,Starter,NA,2025-07,
CUST-00305,Gale Ventures,SMB,Team,APAC,2025-07,
CUST-00306,Harbor Ventures,SMB,Starter,NA,2025-07,
CUST-00307,Ironwood Ventures,SMB,Starter,NA,2025-07,
CUST-00308,Juniper Ventures,SMB,Starter,EMEA,2025-07,
CUST-00309,Kestrel Ventures,SMB,Starter,NA,2025-08,
CUST-00310,Lattice Ventures,SMB,Starter,LATAM,2025-08,2026-04
CUST-00311,Meridian Ventures,SMB,Team,EMEA,2025-08,
CUST-00312,Nimbus Ventures,SMB,Team,NA,2025-08,
CUST-00313,Outrigger Ventures,SMB,Starter,APAC,2025-08,
CUST-00314,Pinewell Ventures,Mid-Market,Team,NA,2025-08,
CUST-00315,Quarry Ventures,SMB,Team,LATAM,2025-08,2026-03
CUST-00316,Ridgeline Ventures,Enterprise,Enterprise,EMEA,2025-08,
CUST-00317,Solstice Ventures,SMB,Team,EMEA,2025-08,2026-02
CUST-00318,Timberline Ventures,SMB,Starter,NA,2025-08,
CUST-00319,Upland Ventures,SMB,Team,APAC,2025-08,2025-12
CUST-00320,Verve Ventures,SMB,Starter,NA,2025-08,2025-10
CUST-00321,Westgate Ventures,SMB,Starter,EMEA,2025-08,2026-07
CUST-00322,Yarrow Ventures,SMB,Starter,EMEA,2025-08,
CUST-00323,Zephyr Ventures,SMB,Starter,EMEA,2025-08,
CUST-00324,Anchor Digital,SMB,Starter,APAC,2025-08,
CUST-00325,Brightline Digital,SMB,Starter,LATAM,2025-08,2026-02
CUST-00326,Cobalt Digital,SMB,Starter,EMEA,2025-08,
CUST-00327,Driftwood Digital,Mid-Market,Business,EMEA,2025-08,
CUST-00328,Elm Digital,SMB,Team,EMEA,2025-08,2026-06
CUST-00329,Foundry Digital,SMB,Starter,LATAM,2025-08,2026-01
CUST-00330,Gale Digital,SMB,Team,APAC,2025-08,
CUST-00331,Harbor Digital,Mid-Market,Team,LATAM,2025-08,
CUST-00332,Ironwood Digital,Mid-Market,Business,APAC,2025-08,2026-05
CUST-00333,Juniper Digital,SMB,Starter,EMEA,2025-08,
CUST-00334,Kestrel Digital,SMB,Starter,APAC,2025-08,2026-06
CUST-00335,Lattice Digital,SMB,Team,LATAM,2025-08,2026-07
CUST-00336,Meridian Digital,Mid-Market,Team,EMEA,2025-08,
CUST-00337,Nimbus Digital,SMB,Starter,NA,2025-08,
CUST-00338,Outrigger Digital,Enterprise,Business,EMEA,2025-08,
CUST-00339,Pinewell Digital,SMB,Starter,EMEA,2025-08,
CUST-00340,Quarry Digital,SMB,Starter,NA,2025-08,2026-04
CUST-00341,Ridgeline Digital,SMB,Starter,EMEA,2025-09,
CUST-00342,Solstice Digital,SMB,Starter,EMEA,2025-09,
CUST-00343,Timberline Digital,Mid-Market,Business,NA,2025-09,
CUST-00344,Upland Digital,SMB,Team,NA,2025-09,
CUST-00345,Verve Digital,SMB,Starter,NA,2025-09,
CUST-00346,Westgate Digital,Mid-Market,Team,LATAM,2025-09,
CUST-00347,Yarrow Digital,SMB,Starter,EMEA,2025-09,
CUST-00348,Zephyr Digital,SMB,Team,EMEA,2025-09,2026-02
CUST-00349,Anchor Supply Co.,SMB,Team,APAC,2025-09,
CUST-00350,Brightline Supply Co.,Enterprise,Business,LATAM,2025-09,
CUST-00351,Cobalt Supply Co.,SMB,Starter,NA,2025-09,
CUST-00352,Driftwood Supply Co.,SMB,Starter,LATAM,2025-09,
CUST-00353,Elm Supply Co.,Mid-Market,Business,LATAM,2025-09,
CUST-00354,Foundry Supply Co.,Enterprise,Business,NA,2025-09,2025-11
CUST-00355,Gale Supply Co.,Mid-Market,Team,LATAM,2025-09,
CUST-00356,Harbor Supply Co.,SMB,Starter,NA,2025-09,
CUST-00357,Ironwood Supply Co.,SMB,Starter,LATAM,2025-09,
CUST-00358,Juniper Supply Co.,SMB,Team,EMEA,2025-09,2025-10
CUST-00359,Kestrel Supply Co.,SMB,Team,NA,2025-09,
CUST-00360,Lattice Supply Co.,SMB,Starter,NA,2025-09,2026-08
CUST-00361,Meridian Supply Co.,SMB,Starter,EMEA,2025-09,
CUST-00362,Nimbus Supply Co.,SMB,Starter,NA,2025-09,
CUST-00363,Outrigger Supply Co.,SMB,Starter,APAC,2025-09,
CUST-00364,Pinewell Supply Co.,SMB,Starter,APAC,2025-09,
CUST-00365,Quarry Supply Co.,SMB,Team,NA,2025-09,
CUST-00366,Ridgeline Supply Co.,SMB,Starter,LATAM,2025-09,
CUST-00367,Solstice Supply Co.,Mid-Market,Team,NA,2025-09,
CUST-00368,Timberline Supply Co.,SMB,Team,APAC,2025-09,
CUST-00369,Upland Supply Co.,SMB,Starter,NA,2025-09,
CUST-00370,Verve Supply Co.,Enterprise,Enterprise,APAC,2025-09,
CUST-00371,Westgate Supply Co.,Mid-Market,Team,EMEA,2025-09,
CUST-00372,Yarrow Supply Co.,SMB,Starter,APAC,2025-10,2026-04
CUST-00373,Zephyr Supply Co.,SMB,Team,NA,2025-10,
CUST-00374,Anchor Systems,SMB,Team,APAC,2025-10,2025-11
CUST-00375,Brightline Systems,SMB,Starter,NA,2025-10,
CUST-00376,Cobalt Systems,Mid-Market,Team,LATAM,2025-10,
CUST-00377,Driftwood Systems,SMB,Starter,NA,2025-10,
CUST-00378,Elm Systems,Mid-Market,Team,NA,2025-10,
CUST-00379,Foundry Systems,SMB,Starter,EMEA,2025-10,
CUST-00380,Gale Systems,SMB,Starter,APAC,2025-10,
CUST-00381,Harbor Systems,SMB,Starter,EMEA,2025-10,
CUST-00382,Ironwood Systems,SMB,Starter,APAC,2025-10,
CUST-00383,Juniper Systems,SMB,Starter,NA,2025-10,
CUST-00384,Kestrel Systems,Enterprise,Business,APAC,2025-10,
CUST-00385,Lattice Systems,Mid-Market,Business,EMEA,2025-10,
CUST-00386,Meridian Systems,SMB,Team,EMEA,2025-10,
CUST-00387,Nimbus Systems,SMB,Starter,EMEA,2025-10,
CUST-00388,Outrigger Systems,SMB,Team,NA,2025-10,
CUST-00389,Pinewell Systems,SMB,Team,NA,2025-10,
CUST-00390,Quarry Systems,Mid-Market,Team,NA,2025-10,2026-05
CUST-00391,Ridgeline Systems,SMB,Team,APAC,2025-10,
CUST-00392,Solstice Systems,SMB,Starter,NA,2025-10,2026-08
CUST-00393,Timberline Systems,SMB,Starter,NA,2025-11,
