report_id,month,views,unique_viewers,engagement_score
REP-003,2025-02,36,14,60
REP-003,2025-03,38,15,71
REP-003,2025-04,41,19,54
REP-003,2025-05,39,15,67
REP-003,2025-06,45,19,76
REP-003,2025-07,45,17,39
REP-003,2025-08,43,15,62
REP-003,2025-09,45,20,62
REP-003,2025-10,50,22,76
REP-003,2025-11,49,22,78
REP-003,2025-12,51,25,84
REP-003,2026-01,57,20,47
REP-003,2026-02,57,18,34
REP-003,2026-03,59,31,88
REP-003,2026-04,53,19,36
REP-003,2026-05,60,28,51
REP-003,2026-06,59,16,48
REP-003,2026-07,62,31,51
REP-003,2026-08,70,31,66
REP-003,2026-09,81,30,64
REP-004,2023-10,62,19,46
REP-004,2023-11,72,26,46
REP-004,2023-12,69,27,53
REP-004,2024-01,76,22,31
REP-004,2024-02,81,35,57
REP-004,2024-03,77,22,33
REP-004,2024-04,80,23,45
REP-004,2024-05,77,22,46
REP-004,2024-06,82,30,42
REP-004,2024-07,84,39,71
REP-004,2024-08,79,27,54
REP-004,2024-09,84,32,52
REP-004,2024-10,84,44,68
REP-004,2024-11,95,36,53
REP-004,2024-12,94,42,59
REP-004,2025-01,87,41,78
REP-004,2025-02,87,33,67
REP-004,2025-03,84,32,38
REP-004,2025-04,86,25,50
REP-004,2025-05,81,34,68
REP-004,2025-06,84,32,50
REP-004,2025-07,76,31,65
REP-004,2025-08,81,23,48
REP-004,2025-09,87,26,36
REP-004,2025-10,90,45,67
REP-004,2025-11,90,31,49
REP-004,2025-12,88,38,43
REP-004,2026-01,83,27,39
REP-004,2026-02,83,45,65
REP-004,2026-03,78,34,62
REP-004,2026-04,77,27,48
REP-004,2026-05,82,44,92
REP-004,2026-06,80,27,34
REP-004,2026-07,74,30,65
REP-004,2026-08,65,34,61
REP-004,2026-09,61,15,28
REP-005,2023-10,46,21,47
REP-005,2023-11,41,16,69
REP-005,2023-12,40,11,50
REP-005,2024-01,42,13,43
REP-005,2024-02,38,18,73
REP-005,2024-03,35,17,75
REP-005,2024-04,31,8,45
REP-005,2024-05,34,13,54
REP-005,2024-06,31,11,65
REP-005,2024-07,31,16,55
REP-005,2024-08,28,14,61
REP-005,2024-09,30,14,72
REP-005,2024-10,29,15,54
REP-005,2024-11,26,14,93
REP-005,2024-12,25,13,53
REP-005,2025-01,23,9,40
REP-005,2025-02,25,8,39
REP-005,2025-03,25,9,48
REP-005,2025-04,25,7,38
REP-005,2025-05,28,9,34
REP-005,2025-06,28,13,46
REP-005,2025-07,26,9,40
REP-005,2025-08,29,15,85
REP-005,2025-09,26,11,75
REP-005,2025-10,25,11,52
REP-005,2025-11,26,10,66
REP-005,2025-12,26,7,36
REP-005,2026-01,25,7,30
REP-005,2026-02,25,13,53
REP-005,2026-03,25,7,36
REP-005,2026-04,24,11,53
REP-005,2026-05,25,7,35
REP-005,2026-06,25,8,39
REP-005,2026-07,25,14,57
REP-005,2026-08,29,15,51
REP-005,2026-09,29,14,66
REP-006,2023-10,111,33,41
REP-006,2023-11,108,39,62
REP-006,2023-12,123,52,69
REP-006,2024-01,112,54,47
REP-006,2024-02,112,57,74
REP-006,2024-03,109,28,33
REP-006,2024-04,115,61,80
REP-006,2024-05,130,46,60
REP-006,2024-06,123,32,47
REP-006,2024-07,132,63,64
REP-006,2024-08,143,69,65
REP-006,2024-09,149,64,57
REP-006,2024-10,147,60,65
REP-006,2024-11,160,45,33
REP-006,2024-12,175,78,78
REP-006,2025-01,162,63,64
REP-006,2025-02,185,77,42
REP-006,2025-03,178,55,56
REP-006,2025-04,193,60,36
REP-006,2025-05,212,99,57
REP-006,2025-06,207,102,50
REP-006,2025-07,190,81,74
REP-006,2025-08,179,78,68
REP-006,2025-09,168,80,56
REP-006,2025-10,156,57,55
REP-006,2025-11,158,82,78
REP-006,2025-12,176,74,42
REP-006,2026-01,157,62,63
REP-006,2026-02,160,57,49
REP-006,2026-03,150,39,35
REP-006,2026-04,141,53,64
REP-006,2026-05,133,42,47
REP-006,2026-06,121,40,53
REP-006,2026-07,111,33,36
REP-006,2026-08,105,54,86
REP-006,2026-09,105,57,81
REP-007,2023-10,39,20,82
REP-007,2023-11,40,16,42
REP-007,2023-12,39,19,71
REP-007,2024-01,42,16,56
REP-007,2024-02,40,12,52
REP-007,2024-03,43,13,36
REP-007,2024-04,47,18,56
REP-007,2024-05,44,22,59
REP-007,2024-06,41,14,43
REP-007,2024-07,41,21,58
REP-007,2024-08,40,20,90
REP-007,2024-09,36,17,52
REP-007,2024-10,38,17,81
REP-007,2024-11,42,18,48
REP-007,2024-12,49,21,42
REP-007,2025-01,48,21,68
REP-007,2025-02,43,21,53
REP-007,2025-03,38,13,49
REP-007,2025-04,36,9,30
REP-007,2025-05,40,14,36
REP-007,2025-06,36,18,81
REP-007,2025-07,38,11,52
REP-007,2025-08,42,22,67
REP-007,2025-09,39,18,63
REP-007,2025-10,41,21,70
REP-007,2025-11,39,10,35
REP-007,2025-12,36,12,37
REP-007,2026-01,35,10,40
REP-007,2026-02,34,15,55
REP-007,2026-03,37,15,59
REP-007,2026-04,34,17,57
REP-007,2026-05,39,14,45
REP-007,2026-06,35,10,45
REP-007,2026-07,37,20,98
REP-007,2026-08,36,13,50
REP-007,2026-09,41,21,62
REP-008,2023-10,19,10,55
REP-008,2023-11,17,9,61
REP-008,2023-12,18,5,31
REP-008,2024-01,19,7,57
REP-008,2024-02,19,7,62
REP-008,2024-03,19,7,59
REP-008,2024-04,22,8,44
REP-008,2024-05,19,9,72
REP-008,2024-06,18,7,54
REP-008,2024-07,21,7,58
REP-008,2024-08,22,9,73
REP-008,2024-09,20,11,91
REP-008,2024-10,22,7,32
REP-008,2024-11,23,8,43
REP-008,2024-12,23,11,86
REP-008,2025-01,24,10,76
REP-008,2025-02,22,11,60
REP-008,2025-03,25,8,48
REP-008,2025-04,23,8,43
REP-008,2025-05,22,7,38
REP-008,2025-06,20,8,60
REP-008,2025-07,20,6,36
REP-008,2025-08,20,10,85
REP-008,2025-09,20,9,53
REP-008,2025-10,21,8,55
REP-008,2025-11,23,10,59
REP-008,2025-12,21,6,48
REP-008,2026-01,19,8,53
REP-008,2026-02,21,9,62
REP-008,2026-03,19,6,55
REP-008,2026-04,21,11,90
REP-008,2026-05,24,12,52
REP-008,2026-06,25,9,63
REP-008,2026-07,22,6,29
REP-008,2026-08,22,9,45
REP-008,2026-09,23,10,55
REP-009,2025-01,53,19,41
REP-009,2025-02,58,22,52
REP-009,2025-03,59,27,63
REP-009,2025-04,61,31,67
REP-009,2025-05,56,20,46
REP-009,2025-06,62,29,60
REP-009,2025-07,70,37,58
REP-009,2025-08,67,36,88
REP-009,2025-09,65,28,50
REP-009,2025-10,59,27,65
REP-009,2025-11,54,25,58
REP-009,2025-12,55,22,71
REP-009,2026-01,59,23,48
REP-009,2026-02,52,14,41
REP-009,2026-03,57,29,58
REP-009,2026-04,66,19,42
REP-009,2026-05,69,18,34
REP-009,2026-06,74,30,45
REP-009,2026-07,66,22,45
REP-009,2026-08,60,33,76
REP-009,2026-09,56,27,68
REP-010,2025-12,20,5,27
REP-010,2026-01,22,9,73
REP-010,2026-02,25,8,50
REP-010,2026-03,25,9,52
REP-010,2026-04,26,12,57
REP-010,2026-05,29,15,70
REP-010,2026-06,31,16,55
REP-010,2026-07,32,9,43
REP-010,2026-08,36,14,65
REP-010,2026-09,36,18,61
REP-011,2024-11,77,40,54
REP-011,2024-12,74,33,54
REP-011,2025-01,69,25,57
REP-011,2025-02,74,35,57
REP-011,2025-03,79,31,71
REP-011,2025-04,77,38,85
REP-011,2025-05,81,21,40
REP-011,2025-06,81,30,55
REP-011,2025-07,92,47,81
REP-011,2025-08,106,46,57
REP-011,2025-09,116,48,46
REP-011,2025-10,106,51,78
REP-011,2025-11,115,58,65
REP-011,2025-12,121,33,35
REP-011,2026-01,137,65,73
REP-011,2026-02,135,44,56
REP-011,2026-03,124,50,48
REP-011,2026-04,121,51,61
REP-011,2026-05,117,54,65
REP-011,2026-06,132,57,64
REP-011,2026-07,123,32,27
REP-011,2026-08,114,43,41
REP-011,2026-09,127,39,30
REP-012,2025-03,24,8,42
REP-012,2025-04,24,12,51
REP-012,2025-05,27,8,30
REP-012,2025-06,28,7,42
REP-012,2025-07,26,8,36
REP-012,2025-08,25,8,33
REP-012,2025-09,26,10,40
REP-012,2025-10,27,9,53
REP-012,2025-11,25,8,35
REP-012,2025-12,23,10,78
REP-012,2026-01,25,12,64
REP-012,2026-02,26,13,52
REP-012,2026-03,28,9,34
REP-012,2026-04,28,14,91
REP-012,2026-05,25,13,58
REP-012,2026-06,22,11,49
REP-012,2026-07,24,12,91
REP-012,2026-08,24,7,47
REP-012,2026-09,25,14,93
REP-013,2024-10,73,36,54
REP-013,2024-11,84,28,60
REP-013,2024-12,90,23,36
REP-013,2025-01,89,32,64
REP-013,2025-02,82,27,39
REP-013,2025-03,81,38,71
REP-013,2025-04,72,34,77
REP-013,2025-05,79,32,43
REP-013,2025-06,71,24,44
REP-013,2025-07,65,32,65
REP-013,2025-08,64,20,46
REP-013,2025-09,60,25,56
REP-013,2025-10,69,29,51
REP-013,2025-11,75,27,40
REP-013,2025-12,78,24,42
REP-013,2026-01,71,37,75
REP-013,2026-02,70,21,32
REP-013,2026-03,66,31,78
REP-013,2026-04,73,39,71
REP-013,2026-05,85,29,58
REP-013,2026-06,87,42,84
REP-013,2026-07,91,45,64
REP-013,2026-08,89,44,50
REP-013,2026-09,102,38,59
REP-014,2024-08,65,20,44
REP-014,2024-09,66,21,40
REP-014,2024-10,68,32,49
REP-014,2024-11,62,27,61
REP-014,2024-12,68,18,41
REP-014,2025-01,65,22,60
REP-014,2025-02,66,21,43
REP-014,2025-03,64,32,78
REP-014,2025-04,62,26,75
REP-014,2025-05,72,32,51
REP-014,2025-06,71,29,54
REP-014,2025-07,81,43,70
REP-014,2025-08,91,40,49
REP-014,2025-09,93,32,62
REP-014,2025-10,92,40,77
REP-014,2025-11,96,47,78
REP-014,2025-12,90,45,64
REP-014,2026-01,104,33,35
REP-014,2026-02,98,27,31
REP-014,2026-03,92,24,43
REP-014,2026-04,83,44,64
REP-014,2026-05,90,33,53
REP-014,2026-06,98,48,68
REP-014,2026-07,112,29,46
REP-014,2026-08,108,31,34
REP-014,2026-09,109,31,44
REP-015,2024-09,84,40,61
REP-015,2024-10,89,37,51
REP-015,2024-11,85,40,76
REP-015,2024-12,85,38,61
REP-015,2025-01,86,38,48
REP-015,2025-02,93,43,58
REP-015,2025-03,102,32,45
REP-015,2025-04,112,38,40
REP-015,2025-05,118,38,35
REP-015,2025-06,115,41,43
REP-015,2025-07,128,33,25
REP-015,2025-08,122,66,73
REP-015,2025-09,140,54,51
REP-015,2025-10,124,65,74
REP-015,2025-11,135,41,37
REP-015,2025-12,146,74,80
REP-015,2026-01,139,76,92
REP-015,2026-02,146,71,70
REP-015,2026-03,139,73,94
REP-015,2026-04,150,45,42
REP-015,2026-05,136,60,54
REP-015,2026-06,138,53,42
REP-015,2026-07,151,58,61
REP-015,2026-08,160,43,32
REP-015,2026-09,181,94,87
REP-016,2025-11,44,16,54
REP-016,2025-12,48,20,71
REP-016,2026-01,44,16,41
REP-016,2026-02,43,21,65
REP-016,2026-03,48,15,32
REP-016,2026-04,53,21,67
REP-016,2026-05,57,23,58
REP-016,2026-06,62,18,52
REP-016,2026-07,60,17,39
REP-016,2026-08,54,27,52
REP-016,2026-09,54,26,56
REP-017,2026-02,101,29,51
REP-017,2026-03,96,48,57
REP-017,2026-04,86,33,38
REP-017,2026-05,94,48,92
REP-017,2026-06,97,31,55
REP-017,2026-07,107,39,39
REP-017,2026-08,105,33,44
REP-017,2026-09,117,58,83
REP-018,2025-03,30,14,76
REP-018,2025-04,32,9,43
REP-018,2025-05,33,9,30
REP-018,2025-06,38,20,60
REP-018,2025-07,39,13,54
REP-018,2025-08,37,11,31
REP-018,2025-09,36,9,35
REP-018,2025-10,40,17,48
REP-018,2025-11,45,18,50
REP-018,2025-12,50,16,58
REP-018,2026-01,52,16,41
REP-018,2026-02,46,14,31
REP-018,2026-03,46,25,89
REP-018,2026-04,50,23,75
REP-018,2026-05,58,17,40
REP-018,2026-06,64,26,60
REP-018,2026-07,72,27,63
REP-018,2026-08,75,20,33
REP-018,2026-09,82,43,82
REP-019,2025-10,74,19,27
REP-019,2025-11,66,32,48
REP-019,2025-12,68,35,85
REP-019,2026-01,63,26,61
REP-019,2026-02,69,28,48
REP-019,2026-03,76,33,77
REP-019,2026-04,72,31,63
REP-019,2026-05,73,32,47
REP-019,2026-06,74,29,43
REP-019,2026-07,67,29,53
REP-019,2026-08,65,18,38
REP-019,2026-09,65,33,63
REP-020,2025-10,43,22,74
REP-020,2025-11,42,21,62
REP-020,2025-12,47,25,89
REP-020,2026-01,50,14,37
REP-020,2026-02,57,23,60
REP-020,2026-03,64,19,47
REP-020,2026-04,61,28,50
REP-020,2026-05,69,26,51
REP-020,2026-06,68,22,33
REP-020,2026-07,63,24,38
REP-020,2026-08,63,23,55
REP-020,2026-09,58,30,71
